,outlet,headline,body,political_leaning
56697,Breitbart,"VIDEO: Hero German Shepherd Shot, Beaten Defending Teenager from Home Invaders","A two-year-old German Shepherd went above and beyond to protect his owner after he took bullets and blows defending his best friend from home invaders.
The 16-year-old owner, Javier Mercado, hid in his closet with his dog Rex as burglars ransacked his Des Moines, Iowa, home Wednesday, KWCH reported.
“As soon as he heard the window shatter, he ran downstairs full charge,” Mercado told KOMO. “And then I just heard a bunch of barking and struggling, and then one of the guys screaming, ‘The dog! The dog bit me! Get the dog!’”
Rex, sensing there was danger in the house, ran downstairs to confront the burglars—who ruthlessly beat him.
As the burglars continued to pilfer through the house, they approached the room where the teen was hiding. Although Rex had little strength left in him, he pounced on the burglars.
“I think if it wasn’t for him, I probably wouldn’t be standing here today,” Mercado said.
The hero German Shepherd was shot three times trying to take down the burglars.
Once the burglars heard police sirens, they fled the scene. When the officers arrived at the home, they rushed Rex to a local veterinarian, expecting the worst because they thought the animal was dead.
Doctors gave the dog pain medication, wound care, and antibiotics while placing him in intensive care. The German Shepherd is now recovering and in stable condition.
A family member set up a GoFundMe page to raise money to pay for Rex’s veterinary bills. The page raised $58,161 as of Sunday afternoon—more than five times the page’s $10,000 goal.",RIGHT
37940,ABC News,The Note: Trump meets market jumps with volatility of his own,"The TAKE with Rick Klein
Interested in The Note? Add The Note as an interest to stay up to date on the latest The Note news, video, and analysis from ABC News. Add Interest
The “Trump Bump” went bust. And it happened as President Donald Trump tested out new midterm material – even accusing Democrats of “treason” for not applauding during his State of the Union address.
The president is clearly ready for midterm politics. But as the split-screen of a market freefall and presidential attacks showed, the political landscape may not be ready for him – not with signs of economic uncertainty, and standoffs and showdowns dominating headlines.
There is obvious political risk in running on a booming stock market, since it makes it harder not to own a slide. There is also risk in campaigning against Democrats as “un-American,” to quote the president, particularly as the Russia investigations swirl.
The markets are in the midst of a wild ride that will no doubt stabilize. But the president is making the political ride wilder for all involved – allies as well as enemies.
The RUNDOWN with MaryAlice Parks
It is hard to have your cake and eat it too.
It is hard to tell voters that your memo has merit, if you don’t let the other side offer theirs.
It is hard to say that some selected facts, chosen by Republican staff, were both vital to the public and not a security threat, but that other facts, laid out by Democratic aides, are the opposite.
Republicans on the House Intelligence Committee seemed to acknowledge all this last night, when they voted to unseal the Democrats’ rebuttal memo, written in response to the GOP one they released last week.
The Democratic memo reportedly adds additional intelligence, outlining other details about how the FBI obtained warrants at the beginning stages of the Russia investigation. The assumption is that it pushes back against the idea FBI investigators abused their powers.
Andrew Harrer/Bloomberg via Getty Images
Senate Intelligence Committee Chair, Richard Burr, R-N.C., says he is fine with the declassification of the Democrats’ memo, too. So with the thumbs up from Burr and House Intel, the question now is: What will the president do?
He does not have a strong track record of encouraging voters to read all sides or consider all options.
The TIP with John Verhovek
For close to 15 years Devin Nunes has been a virtually unheard-of congressman from central California who had coasted to re-election victories during his time on Capitol Hill.
Now Nunes, thrust into the national spotlight in his role as the chairman of the House Intelligence Committee investigating Russian interference in the 2016 election, is becoming a prime target for Democrats eager to pick up his seat – believing Nunes has become a toxic political figure.
Nicholas Kamm/AFP/Getty Images, FILE
Enter Andrew Janz, democrat and Deputy District Attorney in Fresno County, California, who is hoping to become the prosecutor who ends Nunes' decade-and-a-half congressional career.
""We have a saying in the DA's office: When the facts aren't on your side you argue the law, when the law isn't on your side you argue the facts, and when the facts and the law aren’t on your side, take your shoe off and bang it on the table,"" Janz told ABC News in a phone interview yesterday, ""This is exactly what we're seeing Devin Nunes do right now.""
Janz, who more than doubled his fundraising totals this quarter to more than $130,000, according to Federal Election Commission data, has made Nunes' escapades a key part of his case against the Republican, and pushed back on the notion that the issue is a non-factor in the district.
""I haven't had any interactions with people that have said that,"" Janz said, ""Devin can keep going with his political stunts and we're going to keep raising money, and we're going to hold him accountable using that money in November.""
WHAT YOU NEED TO KNOW TODAY
Vice President Pence heads to Tokyo to meet with Japan's prime minister.
Former Trump campaign adviser Carter Page appears on Good Morning America at 7:05 a.m.
Attorney General Jeff Sessions delivers remarks at the Reagan Alumni Association in Washington D.C. at 6 p.m. in honor of President Ronald Reagan’s birthday.
House Democrats hold a news conference at 11:30 a.m. to promote family–based immigration and address what they call the “chain migration myth.”
QUOTE OF THE DAY
“You're up there, you've got half the room going totally crazy wild, they loved everything, they want to do something great for our country. And you have the other side even on positive news, really positive news like that, they were like death and un-American. Un-American.” – President Trump in Blue Ash, Ohio, Monday describing how Democrats reacted during his State of the Union address.
NEED TO READ
Trump's lawyers oppose special counsel interview, sources say. Trump’s two top lawyers – John Dowd and Jay Sekulow – began meeting in December with members of the special counsel's team to start discussing an interview of some sort, with negotiations between the two parties still actively underway. (Katherine Faulders and John Santucci) http://abcn.ws/2Ep8ehC
Bannon expected to skip House Intel testimony, sources say. Former White House chief strategist Steve Bannon is now expected to skip his scheduled appearance Tuesday before the House Intelligence Committee, according to sources familiar with his plans. (Tara Palmeri, Benjamin Siegel and Jordan Phelps) http://abcn.ws/2E506n3
House Intel committee votes to release counter memo as Trump targets Democrat ‘Little Adam Schiff.’ The House Intelligence Committee unanimously voted Monday evening to release a Democratic-authored memo in response to the controversial GOP memo released by the committee last week. (Katherine Faulders and Benjamin Siegel) http://abcn.ws/2BF3005
Trump slams Democrats for State of the Union reactions: ‘treasonous, un-American.’ President Donald Trump traveled to Ohio Monday to tout the economy and the recently-enacted tax law – in a preview of his message against Democrats in the upcoming midterm elections. (Arlette Saenz) http://abcn.ws/2FPEVle
Dem, GOP senators aim to breathe life into immigration debate by introducing narrow DACA bill with no wall. A bipartisan pair of senators today introduced a bill addressing a pressing issue as Congress continues to debate the future of U.S. immigration policy: what to do about the so-called Dreamers, undocumented immigrants who were brought to America as young children. (Ali Rogin) http://abcn.ws/2nE5Qto
The New York Times reports on President Trump’s lawyers advising him to refuse an interview with the special counsel in fear of him being charged with lying to investigators. http://nyti.ms/2BXVbOG
The Washington Post reports on The U.S. Supreme Court denying a request from Pennsylvania Republicans to delay redrawing congressional lines before midterm elections. http://wapo.st/2E6SeNx
The Note is a daily ABC News feature that highlights the key political moments of the day ahead. Please check back on Monday for the latest.",CENTER
164540,Reuters,UK consumers ramp up borrowing again after winter chill,"LONDON (Reuters) - Britain’s consumers picked up the pace of their borrowing in April, according to data that could reassure the Bank of England that the economy is ready for another interest rate hike after a cold winter slump.
FILE PHOTO: Shoppers walk past House of Fraser on Oxford Street in central London, Britain, April 2, 2018. REUTERS/Hannah McKay/File Photo
Also on Thursday, surveys showed consumers turned a bit more confident this month, possibly reflecting an easing of a Brexit-related squeeze on their spending power, and companies were more upbeat too.
“The figures will give the Monetary Policy Committee increased confidence in their assessment that the Q1 slowdown was just a blip,” Andrew Wishart, an economist with consultancy Capital Economics, said.
“The figures chime with other signs that consumer spending growth is starting to strengthen, such as strong retail sales in April. And the rise in consumer confidence in May suggests that consumer credit growth will continue to grow strongly.”
Britain’s economy, which has slowed sharply since voters decided in mid-2016 to leave the European Union, nearly ground to a halt in the first three months of 2018, when the country was hit by unusually cold weather.
The slowdown prompted the BoE to hold off from raising interest rates this month. It noted the sharp fall in consumer borrowing when it explained why it kept rates on hold.
Thursday’s data from the BoE showed consumer credit jumped by a bigger-than-expected 1.832 billion pounds, the strongest rise since November 2016, up from an increase of only 425 million pounds in March.
Economists taking part in a Reuters poll had expected consumer lending to show a net increase of 1.3 billion pounds.
The annual growth rate in consumer lending edged up to 8.8 percent from 8.6 percent in March, its slowest increase since November 2015, the BoE said.
A surge in consumer credit peaked in late 2016 when it was growing by 11 percent a year.
Since then, the BoE has urged banks to scale back risky lending, and consumers have felt the pinch from higher inflation after the Brexit vote and weak wage growth.
But there are signs that the squeeze on spending power is easing. Inflation has eased in recent months and wage growth is slowly picking up speed.
The monthly GfK consumer confidence survey showed households felt more upbeat about their personal finances although the remained largely pessimistic about the economy ahead of Brexit next March.
In contrast to the signs of a pickup among consumers, Britain’s housing market remains in the doldrums.
Prices rose by 2.4 percent in the 12 months to May, down from rates of around 5 percent shortly before the referendum, mortgage lender Nationwide said.
The BoE said the number of mortgages approved for house purchase edged down to 62,455 in April from 62,802 in March, below economists’ forecasts of 63,000 in the Reuters poll.",CENTER
152418,The New York Times,"Justice Department, Texas, Venezuela: Your Monday Briefing","Good morning.
Here’s what you need to know:
Investigate the investigators, Trump says
• President Trump has intensified his frequent threats to intervene in the special counsel inquiry, demanding that the Justice Department look into whether the department or the F.B.I. had “infiltrated or surveilled” his campaign.
The president has said that an F.B.I. informant who was sent to talk to his campaign aides was actually a spy dispatched for political purposes. In fact, the F.B.I. sent the informant only after receiving evidence that the advisers had suspicious contacts linked to Russia.
Legal experts said Mr. Trump’s call for an investigation had little precedent and could force a clash with the Justice Department reminiscent of the one involving Richard Nixon during Watergate.
• Also on Sunday, Mr. Trump’s lawyer Rudolph Giuliani said the special counsel, Robert Mueller, hoped to finish by Sept. 1 the investigation into whether the president obstructed the Russia inquiry. A spokesman for the special counsel’s office declined to comment.",LEFT
40999,The Guardian,"Schools are not the answer to childhood obesity epidemic, study shows","Obesity Schools are not the answer to childhood obesity epidemic, study shows Researchers say much wider action is needed after a major programme in primary schools in the West Midlands was shown to have made no difference to obesity levels Children at more than 50 primary schools in the West Midlands were given a year of extra physical activity sessions and a healthy eating programme. Photograph: Alamy Stock Photo
Childhood obesity programmes in schools are not the answer to the epidemic affecting the UK, according to researchers who say much wider local and national action is needed, including curbs on the advertising of junk food.
A major obesity programme introduced into more than 50 primary schools in the West Midlands has failed to have any significant effect on children’s weight. Children were given a year of extra physical activity sessions, a healthy eating programme and cookery workshops with their parents. Families were invited to activity events, including sessions run by Aston Villa football club.
But at the end of 30 months, there was no difference in obesity between those children who took part and those who did not.
The government’s childhood obesity plan, launched from Downing Street in January last year, placed great emphasis on increasing sport and other activity in schools. A number of school-based obesity programmes have been introduced around the country, focusing on increasing physical activity and improving children’s diet in school.
But, says the team from the University of Birmingham’s Institute of Applied Health Research, the negative results from their large study published in the British Medical Journal are in line with what has been found elsewhere; schools may have a role to play but can only be part of the answer to the obesity problem.
“We need to look at ways that we can really engage communities in this agenda, change our local environment and look at how national policies can support diet and physical activity,” said Miranda Pallan, one of the team.
Children, she said “are at the centre of lots of layers of influence”. For primary school children, parents and the wider family are key. “They function within their family. Decisions on what to eat and what they do are determined by their family.”
Adults, who may themselves be obese, are influenced by many different things. Local initiatives in communities can help but national policies on food and the environment are also vital.
The government is tackling sugar levels in soft drinks and foods. “There are some good things in the government’s plan but we would argue that there need to be further measures and there are things like advertising restrictions that would be very good to see,” Pallan said.
“If anything what our research highlights is that although schools are vitally important, they can’t do it alone. We need many, many approaches. Each of those will make a marginal difference. We need to look at the whole picture of the causes and tackle each of those areas.”
The institute created and introduced an ambitious programme called West Midlands ActiVe lifestyle and healthy Eating in School children, dubbed Waves. The programme included extra daily physical activity in schools, a physical activity and healthy eating programme in conjunction with local sporting heroes, regular information to parents about local physical activity opportunities, and workshops on healthy cooking for families at schools.
About 1,400 children aged six and seven took part in the trial. At the start of the trial, height and weight was recorded for each of them, along with other measurements relating to body fat, diet and physical activity levels.
The researchers found no significant difference in weight status and no meaningful effect on body fat measurements, diet or physical activity levels at 15 and 30 months in children taking part in the programme, compared with those not taking part.
They suggest that “nudge” interventions, such as using financial incentives to prompt healthier behaviour, merit further investigation. But they conclude that school based motivational, educational approaches “are unlikely to halt the childhood obesity epidemic.”
Prof Melissa Wake, paediatrician and obesity expert from Victoria, Australia, says in a linked editorial that it is time to step back and take stock. The important findings of the trial “could perhaps help break the cycle of policymakers continuing with ineffective educational preventive approaches that can never hope to greatly impact on the obesity epidemic.”",LEFT
55072,The New York Times,States Mull ‘Red Flag’ Gun Seizures from People Deemed Dangerous,"“It’s fair to say that everyone, law enforcement included, is learning how this law might work — in the process of using it,” said Garen Wintemute, a professor of emergency medicine and director of the Violence Prevention Research Program at the Sacramento campus of the University of California, Davis.
Connecticut was the first state in the nation to pass such a statute in 1999, in response to a mass shooting at a state lottery office. What followed surprised some officials there: Almost no one used the law. For years, it was relegated to the back shelf of law enforcement, with only a handful of cases a year.
The pace of cases began to quicken, Connecticut statistics show, after high-profile shootings occurred elsewhere, starting in 2007 with the deaths of 33 people on the campus of Virginia Tech. Advocates of red flag laws said they provided important protections, particularly as people became increasingly aware of the risks of mass shootings.
Advertisement Continue reading the main story
Still, even states with the laws have not avoided such shootings. The gunman who killed 26 people at Sandy Hook Elementary School in Newtown, Conn., in December 2012 had access to guns, though people who knew him said he had shown troubling signs before the attack.
“This is a country with hundreds of millions of guns in circulation, and that fact imposes real constraints on what policy can achieve and on what kind of policy makes sense,” said Ramesh Ponnuru, a fellow at the American Enterprise Institute, a conservative research group. No one, Mr. Ponnuru added, should expect any one law to fix everything. “Realism is the right attitude,” he said.
Many Republicans oppose red flag laws, and the National Rifle Association has argued that a judge’s order to seize a person’s weapon may violate Second Amendment rights when no crime has been committed.
Newsletter Sign Up Continue reading the main story Please verify you're not a robot by clicking the box. Invalid email address. Please re-enter. You must select a newsletter to subscribe to. Sign Up You agree to receive occasional updates and special offers for The New York Times's products and services. Thank you for subscribing. An error has occurred. Please try again later. View all New York Times newsletters.
But law enforcement officials who have embraced red flag laws say that they allow the authorities to step in before something catastrophic occurs. The removals are temporary, these officials stress, meaning that guns are returned to people no longer deemed dangerous.
The laws allow weapons to be seized for a brief time — typically two or three weeks — after which a petitioner, usually a police agency, must go back to court to let a judge decide whether the gun owner’s behavior amounts to a threat to himself or others and whether the weapons should be held longer. Some states, including New York and Texas, already allow guns to be taken from mental health patients deemed dangerous, but red flag laws hinge on outward behavior — a person’s statements and actions regardless of medical diagnosis.
“The reason I like gun violence restraining orders as an option is that we can use them even if the person hasn’t been convicted of a crime,” said Mara W. Elliott, the San Diego city attorney. California’s measure, patterned after Connecticut’s, took effect in 2016, and late last year, Ms. Elliott assigned an assistant city attorney to pursue gun seizure cases full time, one of the first cities in the nation to take such aggressive action.
So far, the office has pursued 10 cases, Ms. Elliott said, and officials there have seen circumstances involving more intimate situations than they had expected. Prompted by calls to the police, who then asked the city attorney to intervene under the new law, the authorities removed guns from Alzheimer’s patients, alcoholics and people accused of domestic abuse.
Since Connecticut passed its law, the state has seen 1,519 cases, about two-thirds of them since 2012. California’s far newer law resulted in 86 cases in its first year. And Washington’s superior courts have held about 65 hearings under the law since it was approved by voters in 2016.
Red flag laws have evolved, too. Connecticut and Indiana, which passed its law in 2005 after the murder of an Indianapolis police officer, allow only law enforcement agencies to bring petitions for temporary gun removal. Newer measures, in California, Oregon and Washington, allow family members to bring such petitions to judges as well.
Advertisement Continue reading the main story
The effectiveness of the statutes has depended on the level of communication between the public and law enforcement agencies, according to social and health policy researchers who have studied the laws. In some places, they said, residents have been far more willing to report troubling behavior than in others. And in some communities, law enforcement agencies are more familiar with the technical intricacies of applying the red flag laws than they are in others. Even in the states that have had the laws longer, like Indiana, state officials have said that many residents and police officers are unaware of the tools they have.
Curtis T. Hill Jr., the Republican attorney general of Indiana, on Wednesday took the unusual step of reminding his colleagues around the state that the provision exists.
“Indiana’s ‘Red Flag Law’ is a common-sense measure that in no way inhibits the Second Amendment rights of law-abiding citizens,” Mr. Hill said in a statement. “This useful provision is not as well-known, even among law enforcement, as one might expect. That’s why this week we are distributing a public safety advisory raising awareness of the law and urging police and prosecutors to make full use of it as we work together to protect all Hoosiers.”",LEFT
165267,ABC News,North Koreans to meet Trump; deliver letter from leader,"A top aide to Kim Jong Un will make a rare visit to Washington Friday to hand a letter from the North Korean leader to President Donald Trump, Secretary of State Mike Pompeo said after reporting ""good progress"" in talks between the two sides to revive an on-again, off-again nuclear summit.
""I am confident we are moving in the right direction,"" Pompeo told reporters at a news conference in New York after meeting Thursday with former North Korean military intelligence chief Kim Yong Chol. ""Our two countries face a pivotal moment in our relationship, and it would be nothing short of tragic to let this opportunity go to waste.""
He would not say that the summit is a definite go for Singapore on June 12 and could not say if that decision would be made after Trump reads Kim Jong Un's letter. However, his comments were the most positive from any U.S. official since Trump abruptly canceled the meeting last week after belligerent statements from the North.
The two countries, eying the first summit between the U.S. and the North after six decades of hostility, have also been holding negotiations in Singapore and the demilitarized zone between the two Koreas.
Early Thursday, Trump told reporters ""we are doing very well"" with North Korea. He added there may even need to be a second or third summit meeting to reach a deal on North Korean denuclearization but still hedged, saying ""maybe we'll have none.""
Kim Yong Chol is the highest-ranking North Korean official to visit the U.S. in 18 years, and his trip to the White House will be a highly symbolic sign of easing tensions after fears of war escalated amid North Korean nuclear and missile tests last year.
Pompeo, the former CIA chief who has traveled to North Korea and met with Kim Jong Un twice in the past two months, said he believed the country's leaders are ""contemplating a path forward where they can make a strategic shift, one that their country has not been prepared to make before.""
He tweeted from New York: ""Good progress today during our meetings"" with Kim and his team. Yet he also said at his news conference that difficult work remains including hurdles that may appear to be insurmountable as negotiations progress on the U.S. demand for North Korea's complete, verifiable and irreversible denuclearization.
""We will push forward to test the proposition that we can achieve that outcome,"" he said.
Pompeo spoke after meeting with Kim Yong Chol for a little more than two hours at the residence of the deputy U.S. ambassador to the United Nations. The talks had been expected to be held in two sessions, one in the morning and one in the early afternoon, and had not been expected to conclude until 1:30 p.m. Instead, the two men wrapped up at 11:25 a.m.
Pompeo said they finished everything they needed to address in the morning session. Immediately afterward, he tweeted that he had had substantive talks on the priorities for the potential summit. Pompeo was accompanied by Andrew Kim, the head of a CIA unit assigned to work on North Korea, and Mark Lambert, the head of the State Department's Korea desk.
""Our secretary of state is having very good meetings,"" Trump told reporters at Joint Base Andrews before departing on a trip to Texas. He said of the North Koreans, ""I believe they will be coming down to Washington on Friday. A letter being delivered to me from Kim Jong Un. It is very important to them.""
""It is all a process,"" he said of arranging the summit. ""Hopefully we will have a meeting on the 12th.""
Despite the upbeat messaging in the United States, Kim Jong Un, in a meeting with Russia's foreign minister on Thursday, complained about the U.S. trying to spread its influence in the region, a comment that may complicate the summit plans. ""As we move to adjust to the political situation in the face of U.S. hegemonism, I am willing to exchange detailed and in-depth opinions with your leadership and hope to do so moving forward,"" Kim told Sergey Lavrov.
North Korea's flurry of diplomatic activity following an increase in nuclear weapons and missile tests in 2017 suggests that Kim is eager for sanctions relief to build his economy and for the international legitimacy a summit with Trump would provide. But there are lingering doubts on whether he will ever fully relinquish his nuclear arsenal, which he may see as his only guarantee of survival in a region surrounded by enemies.
Trump views a summit as a legacy-defining opportunity to make a nuclear deal, but he has left the world guessing since canceling the meeting last week in an open letter to Kim that complained of the North's ""tremendous anger and open hostility."" North Korea's conciliatory response to that letter appears to have put the summit back on track.
Kim Yong Chol is the most senior North Korean visitor to the United States since Vice Marshal Jo Myong Rok visited Washington in 2000 to meet President Bill Clinton and Secretary of State Madeleine Albright. That was the last time the two sides, which are technically at war, attempted to arrange a leadership summit. It was an effort that ultimately failed as Clinton's time in office ran out, and relations turned sour again after George W. Bush took office in early 2001 with a tough policy on the North.
Kim Yong Chol, vice chairman of the North Korean ruling party's central committee, was allowed into the United States despite being on a U.S. sanctions list, and North Korean officials are not normally allowed to travel outside the New York area.
The North Korean mission at the United Nations did not respond to an email seeking comment Thursday, and phone calls were not answered.
———
Lederman reported from Washington. Associated Press writers Christopher Bodeen in Beijing, Jonathan Lemire in Washington and Edith M. Lederer at the United Nations contributed.",CENTER
56966,ABC News,Most Asian markets higher after Wall Street gains,"Asian markets mostly extended gains on Tuesday after Wall Street finished higher overnight. The upcoming Federal Reserve chair's testimony at U.S. Congress later in the day, his first public appearance as chair of the Fed, was in focus.
KEEPING SCORE: Japan's Nikkei 225 jumped 1.4 percent to 22,460.85 and South Korea's Kospi rose 0.4 percent to 2,467.68. Hong Kong's Hang Seng index was flat at 31,487.55 while China's Shanghai Composite Index slumped 1.2 percent to 3,291.82. Australia's S&P/ASX 200 gained 0.5 percent to 6,073.00. Stocks in Taiwan, Singapore and other Southeast Asian countries were higher.
ANALYST'S TAKE: ""Riding on the wave of positive sentiment from the start of the week, Asian markets look set to continue in gains,"" said Jingyi Pan, a market strategist at IG in Singapore. ""The focus is no doubt set ahead to Fed Chair Jerome Powell's speech, though the market continues to reflect little concern over the possibility of any overtly hawkish comments.""
FED WATCH: Powell's public debut as chair of the Fed starts later on Tuesday when he is due to testify to the House Financial Services Committee. Investors will be looking for clues about when and how quickly the Fed will continue to raise interest rates. In December, the Fed forecast that it would raise rates three times in 2018 but many think the Fed may accelerate that pace. Investors will also want to know whether Powell is becoming convinced that the Fed is finally on the verge of achieving its 2 percent inflation target and if so, whether it might soon feel the need to speed up its rate increases.
WALL STREET: U.S. stocks jumped on Monday. The Standard & Poor's 500 gained 32.30 points, or 1.2 percent, to 2,779.60. The Dow Jones industrial average rose 399.28, or 1.6 percent, to 25,709.27, and the Nasdaq composite gained 84.07, or 1.1 percent, to 7,421.46.
OIL: Benchmark U.S. crude fell 5 cents to $63.86 per barrel on the New York Mercantile Exchange. The contract rose 36 cents to settle at $63.91 per barrel on Monday. Brent crude, the international standard, gained lost 7 cents to $67.22 per barrel.
CURRENCIES: The dollar weakened to 106.89 Japanese yen from 106.93 yen. The euro rose to $1.2329 from $1.2316.",CENTER
56683,Fox News,"Teen survivor, father of Parkland victim call for change after Florida school massacre","A survivor of the Florida high school massacre and a father whose daughter was killed called for wide-reaching changes to school safety in an interview Sunday with Fox News.
Delaney Tarr, a senior at the school, has been one of the most prominent student activists calling for changes to gun laws, a ban on certain weapons and improved care for the mentally ill since a shooter slaughtered 17 people at the Parkland high school on Valentine’s Day.
“We need to address the failures that have created a situation like horrible situation like this. All of the things that have failed us, all of the systems that have failed us,” she said on “Fox News Sunday.” “I also believe we need to make it harder for people to access guns when they are not mentally stable, when they are young, when they are not in a place where they should be owning a weapon like this.”
Seventeen people were killed in the mass shooting at Marjory Stoneman Douglas High School in Parkland by alleged teen gunman, Nikolas Cruz, who used an AR-15 and who had a history of emotional problems, according to investigators.
One of the victims’ fathers, Andrew Pollack, whose daughter, Meadow, died in the shooting, spoke about the need to make change now: “The new norm has to be our kids are safe in the school. This can’t happen again, I can’t let it happen to another kid in another state.”
He told Fox News' Chris Wallace: “I want to tell every governor in every other state, they need to be proactive right now. They need to get a bill in place and we’re going to put all America together, work with these governors to protect our schools. We can’t have another shooting in this country. I can’t live with it. This has to stop with Parkland, and my daughter’s death can’t be in vain. It has to be the last one.”
Cruz was arrested and charged with 17 counts of premeditated murder.
Pollack said that he has been making his grief actionable. “It’s rough, I have my moments you know. It’s like a wave of emotions,” he said about the fire that drives him now. “I can’t explain it, I could walk through flames right now, there’s nothing I can’t do.”
Tarr has been one of the most vocal advocates for change since the shooting, but she knows first and foremost she’s a student.
“It’s very daunting to imagine going back to a place that just two weeks prior held such horrors, and it’s scary because I don’t know if I am going to be safe there, but I know that I have to,” she said about returning to school. “I know now more than ever I’m proud of who I am, and I feel like I need that sense of normalcy because it’s, like, I can’t even be a high schooler anymore.”",RIGHT
63044,BBC,Newspaper headlines: Theresa May's Brexit warning and 'hash in the attic',"Image caption
Some of the papers lead on Theresa May's speech on Friday, in which she told both sides of the Brexit argument that they had to accept ""hard facts"". The Daily Telegraph says the PM urged the EU to meet the UK ""halfway"" in negotiations. It was Mrs May's ""most pragmatic Brexit speech to date"", it says.",UNDEFINED
